method,recall,precision,exact_queries,scenario
snn_numba(f64),1.0,1.0,500/500,main
snn_numba(f32),1.0,0.99998,499/500,main
snn_cpp(f64),1.0,1.0,500/500,main
snn_cpp(f32),1.0,0.999960000799984,498/500,main
snn_numba(f64),1.0,1.0,500/500,n=10000
snn_numba(f32),1.0,1.0,500/500,n=10000
snn_cpp(f64),1.0,1.0,500/500,n=10000
snn_cpp(f32),1.0,1.0,500/500,n=10000
snn_numba(f64),1.0,1.0,500/500,n=50000
snn_numba(f32),1.0,1.0,500/500,n=50000
snn_cpp(f64),1.0,1.0,500/500,n=50000
snn_cpp(f32),1.0,1.0,500/500,n=50000
snn_numba(f64),1.0,1.0,500/500,n=200000
snn_numba(f32),0.99992,1.0,498/500,n=200000
snn_cpp(f64),1.0,1.0,500/500,n=200000
snn_cpp(f32),0.99996,1.0,499/500,n=200000
snn_numba(f64),1.0,1.0,500/500,d=2
snn_numba(f32),0.999919996799872,0.999840006399744,494/500,d=2
snn_cpp(f64),1.0,1.0,500/500,d=2
snn_cpp(f32),0.999919996799872,0.999840006399744,494/500,d=2
snn_numba(f64),1.0,1.0,500/500,d=10
snn_numba(f32),1.0,0.99996,499/500,d=10
snn_cpp(f64),1.0,1.0,500/500,d=10
snn_cpp(f32),1.0,0.99996,499/500,d=10
snn_numba(f64),1.0,1.0,500/500,d=25
snn_numba(f32),1.0,0.99996,499/500,d=25
snn_cpp(f64),1.0,1.0,500/500,d=25
snn_cpp(f32),1.0,0.99996,499/500,d=25
snn_numba(f64),1.0,1.0,500/500,d=200
snn_numba(f32),1.0,0.99996,499/500,d=200
snn_cpp(f64),1.0,1.0,500/500,d=200
snn_cpp(f32),0.999959998399936,0.999880004799808,497/500,d=200
snn_numba(f64),1.0,1.0,500/500,d=500
snn_numba(f32),0.99996,1.0,499/500,d=500
snn_cpp(f64),1.0,1.0,500/500,d=500
snn_cpp(f32),0.99984,0.9999199935994879,494/500,d=500
